# x_r, y_r, x_l, y_l
2.449293598294706414e-16,4.000000000000000000e+00,-2.449293598294706414e-16,-4.000000000000000000e+00
1.000000000000002554e-01,4.000000000000000000e+00,9.999999999999975575e-02,-4.000000000000000000e+00
2.000000000000002609e-01,4.000000000000000000e+00,1.999999999999997613e-01,-4.000000000000000000e+00
3.000000000000002665e-01,4.000000000000000000e+00,2.999999999999998224e-01,-4.000000000000000000e+00
4.000000000000002442e-01,4.000000000000000000e+00,3.999999999999998002e-01,-4.000000000000000000e+00
5.000000000000002220e-01,4.000000000000000000e+00,4.999999999999997780e-01,-4.000000000000000000e+00
6.000000000000003109e-01,4.000000000000000000e+00,5.999999999999998668e-01,-4.000000000000000000e+00
7.000000000000001776e-01,4.000000000000000000e+00,6.999999999999997335e-01,-4.000000000000000000e+00
8.000000000000002665e-01,4.000000000000000000e+00,7.999999999999998224e-01,-4.000000000000000000e+00
9.000000000000002442e-01,4.000000000000000000e+00,8.999999999999998002e-01,-4.000000000000000000e+00
1.000000000000000222e+00,4.000000000000000000e+00,9.999999999999997780e-01,-4.000000000000000000e+00
1.100000000000000311e+00,4.000000000000000000e+00,1.099999999999999867e+00,-4.000000000000000000e+00
1.200000000000000400e+00,4.000000000000000000e+00,1.199999999999999956e+00,-4.000000000000000000e+00
1.300000000000000266e+00,4.000000000000000000e+00,1.299999999999999822e+00,-4.000000000000000000e+00
1.400000000000000133e+00,4.000000000000000000e+00,1.399999999999999689e+00,-4.000000000000000000e+00
1.500000000000000222e+00,4.000000000000000000e+00,1.499999999999999778e+00,-4.000000000000000000e+00
1.600000000000000311e+00,4.000000000000000000e+00,1.599999999999999867e+00,-4.000000000000000000e+00
1.700000000000000400e+00,4.000000000000000000e+00,1.699999999999999956e+00,-4.000000000000000000e+00
1.800000000000000266e+00,4.000000000000000000e+00,1.799999999999999822e+00,-4.000000000000000000e+00
1.900000000000000577e+00,4.000000000000000000e+00,1.900000000000000133e+00,-4.000000000000000000e+00
2.000000000000000444e+00,4.000000000000000000e+00,1.999999999999999778e+00,-4.000000000000000000e+00
2.100000000000000533e+00,4.000000000000000000e+00,2.099999999999999645e+00,-4.000000000000000000e+00
2.200000000000000622e+00,4.000000000000000000e+00,2.199999999999999734e+00,-4.000000000000000000e+00
2.300000000000000711e+00,4.000000000000000000e+00,2.299999999999999822e+00,-4.000000000000000000e+00
2.400000000000000799e+00,4.000000000000000000e+00,2.399999999999999911e+00,-4.000000000000000000e+00
2.500000000000000444e+00,4.000000000000000000e+00,2.499999999999999556e+00,-4.000000000000000000e+00
